
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set NALL and time  0.1000000E+01

         1  0.000000E+00  1.355253E-21  0.000000E+00
         2 -7.773739E-04  1.995761E-04 -2.306941E-02
         3  4.221130E-03 -3.177796E-04 -3.992353E-02
         4  1.080515E-02 -3.084267E-04 -4.435580E-02
         5  1.740008E-02 -3.197626E-04 -3.966767E-02
         6  2.232097E-02  1.752456E-04 -2.272876E-02
         7  2.156177E-02  1.355253E-21  0.000000E+00
         8  8.284194E-03  1.016820E-04 -1.472266E-03
         9  1.912839E-02  3.818855E-04 -2.286352E-02
        10  1.761221E-02  6.307362E-04 -3.794893E-02
        11  1.059875E-02  8.773192E-04 -4.194723E-02
        12  3.582523E-03  6.664297E-04 -3.784109E-02
        13  2.643376E-03  3.615000E-04 -2.243042E-02
        14  1.343882E-02  1.003365E-04 -1.386567E-03
        15  0.000000E+00  0.000000E+00  0.000000E+00
        16 -7.773739E-04 -1.995761E-04 -2.306941E-02
        17  4.221130E-03  3.177796E-04 -3.992353E-02
        18  1.080515E-02  3.084267E-04 -4.435580E-02
        19  1.740008E-02  3.197626E-04 -3.966767E-02
        20  2.232097E-02 -1.752456E-04 -2.272876E-02
        21  2.156177E-02  0.000000E+00  0.000000E+00
        22  8.284194E-03 -1.016820E-04 -1.472266E-03
        23  1.912839E-02 -3.818855E-04 -2.286352E-02
        24  1.761221E-02 -6.307362E-04 -3.794893E-02
        25  1.059875E-02 -8.773192E-04 -4.194723E-02
        26  3.582523E-03 -6.664297E-04 -3.784109E-02
        27  2.643376E-03 -3.615000E-04 -2.243042E-02
        28  1.343882E-02 -1.003365E-04 -1.386567E-03
