2026-08-01 14:21:19,689 INFO [Hey_Jude_pages]                 Book.java:560  | 2 sheets in /Users/wangzirui/教科研数据仓库/tmp/pdfs/hey_jude_omr/Hey_Jude_pages.pdf
2026-08-01 14:21:29,778 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | REDUCTION
2026-08-01 14:21:29,865 INFO [Hey_Jude_pages#1]        ReductionStep.java:105  | Stems free length median value: 68 pixels, 3.6 interlines
2026-08-01 14:21:29,872 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:30,116 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:30,127 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | CUE_BEAMS
2026-08-01 14:21:30,128 INFO [Hey_Jude_pages#1]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-08-01 14:21:30,132 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:30,321 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:30,323 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | TEXTS
2026-08-01 14:21:30,518 WARN [Hey_Jude_pages#1]       TesseractOrder.java:413  | TesseractOrder. Could not initialize TessBaseAPI languages: eng in legacy mode
2026-08-01 14:21:30,520 INFO [Hey_Jude_pages#1]              OcrUtil.java:139  | No OCR'd lines
2026-08-01 14:21:30,524 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:30,726 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:30,727 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | MEASURES
2026-08-01 14:21:30,731 INFO [Hey_Jude_pages#1]                 Page.java:307  | 20 raw measures: [5 in system#1, 4 in system#2, 4 in system#3, 3 in system#4, 4 in system#5]
2026-08-01 14:21:30,732 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:30,935 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:30,937 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | CHORDS
2026-08-01 14:21:30,951 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:31,197 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:31,198 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | CURVES
2026-08-01 14:21:32,037 INFO [Hey_Jude_pages#1]         SlursBuilder.java:240  | Slurs: 9
2026-08-01 14:21:32,047 INFO [Hey_Jude_pages#1]      SegmentsBuilder.java:155  | Segments: 11
2026-08-01 14:21:32,057 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:32,388 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:32,390 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | SYMBOLS
2026-08-01 14:21:33,198 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:33,740 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:33,743 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | LINKS
2026-08-01 14:21:33,747 INFO [Hey_Jude_pages#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#6655{(0.236) staff:1 OTTAVA ALTA} at java.awt.Point[x=1145,y=431]
2026-08-01 14:21:33,748 INFO [Hey_Jude_pages#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#6665{(0.150) staff:1 QUINDICESIMA ALTA} at java.awt.Point[x=1208,y=432]
2026-08-01 14:21:33,748 INFO [Hey_Jude_pages#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#6715{(0.155) staff:1 VENTIDUESIMA BASSA} at java.awt.Point[x=1639,y=920]
2026-08-01 14:21:33,761 INFO [Hey_Jude_pages#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#6966{(0.149) staff:5 QUINDICESIMA BASSA} at java.awt.Point[x=427,y=1964]
2026-08-01 14:21:33,766 INFO [Hey_Jude_pages#1]        SymbolsLinker.java:258  | No chord linked to OctaveShiftInter#7114{(0.142) staff:7 QUINDICESIMA BASSA} at java.awt.Point[x=1022,y=2489]
2026-08-01 14:21:33,790 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:34,115 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:34,116 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | RHYTHMS
2026-08-01 14:21:34,136 INFO [Hey_Jude_pages#1]        MeasureRhythm.java:1044 | Measure{#12} No timeOffset for HeadChordInter#5679{(0.962/0.962) staff:6 slot#6 dur:1/8}
2026-08-01 14:21:34,137 INFO [Hey_Jude_pages#1]   AbstractChordInter.java:635  | Measure{#12} No timeOffset for HeadChordInter#5682{(0.929/0.929) staff:6 slot#9 dur:1/8}
2026-08-01 14:21:34,137 INFO [Hey_Jude_pages#1]                Voice.java:257  | Measure{#12} Voice{#1 excess:1/16} too long
2026-08-01 14:21:34,137 INFO [Hey_Jude_pages#1]          StackRhythm.java:224  | S3 MeasureStack#12 no correct rhythm
2026-08-01 14:21:34,156 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:34,499 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:34,500 INFO [Hey_Jude_pages#1]       StepMonitoring.java:98   | PAGE
2026-08-01 14:21:34,504 INFO [Hey_Jude_pages#1]                Voice.java:257  | Measure{#12} Voice{#1 excess:1/16} too long
2026-08-01 14:21:34,506 INFO [Hey_Jude_pages#1]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:34,920 INFO [Hey_Jude_pages#1]                Sheet.java:1583 | Stored /sheet#1/sheet#1.xml
2026-08-01 14:21:34,921 INFO [Hey_Jude_pages#1]            SheetStub.java:1655 | Sheet#1 disposed
2026-08-01 14:21:34,952 INFO [Hey_Jude_pages#1]                 Book.java:2050 | End of Stub#1
2026-08-01 14:21:34,953 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | LOAD
2026-08-01 14:21:35,140 INFO [Hey_Jude_pages#2]            SheetStub.java:1278 | Loaded image #2 2479x3504 from /Users/wangzirui/教科研数据仓库/tmp/pdfs/hey_jude_omr/Hey_Jude_pages.pdf
2026-08-01 14:21:35,142 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:35,276 INFO [Hey_Jude_pages#2]           DataHolder.java:348  | Stored /sheet#2/GRAY.png
2026-08-01 14:21:35,278 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:35,280 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | BINARY
2026-08-01 14:21:35,459 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:35,459 INFO [Hey_Jude_pages#2]           DataHolder.java:256  | Removed /sheet#2/GRAY.png
2026-08-01 14:21:35,519 INFO [Hey_Jude_pages#2]           DataHolder.java:348  | Stored /sheet#2/BINARY.png
2026-08-01 14:21:35,520 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:35,521 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | SCALE
2026-08-01 14:21:35,536 INFO [Hey_Jude_pages#2]         ScaleBuilder.java:254  | Beam  guessed height: 11 -- 0.25 of [9..18] range
2026-08-01 14:21:35,537 INFO [Hey_Jude_pages#2]         ScaleBuilder.java:271  | Beam measured height: 11 -- 0.22 of [9..18] range at 407% of needed quorum
2026-08-01 14:21:35,537 INFO [Hey_Jude_pages#2]         ScaleBuilder.java:401  | Normalized black jitter: 5.26 %
2026-08-01 14:21:35,537 INFO [Hey_Jude_pages#2]            ScaleStep.java:65   | Scale{ interline(19,19,20) line(2,3,3) beam(11)}
2026-08-01 14:21:35,538 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:35,539 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:35,540 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | GRID
2026-08-01 14:21:35,748 INFO [Hey_Jude_pages#2]       LinesRetriever.java:1508 | Global slope: -0.00173
2026-08-01 14:21:35,763 INFO [Hey_Jude_pages#2]    ClustersRetriever.java:326  | Retrieved raw line clusters: 12 of sizes [5] with interline(19,19,20)
2026-08-01 14:21:35,869 INFO [Hey_Jude_pages#2]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10] #6[11, 12]
2026-08-01 14:21:36,009 INFO [Hey_Jude_pages#2]        SystemManager.java:800  | 1 part along 6 systems
2026-08-01 14:21:36,013 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:36,051 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
