reference_label,entity_id,reference_text,authors,title,document_type,source_container,year,citation_count,thesis_pages,mapping_status,metadata_verification
[1],E001,"中华人民共和国教育部. 普通高中通用技术课程标准（2017年版2020年修订）[S]. 北京: 人民教育出版社, 2020.",中华人民共和国教育部,普通高中通用技术课程标准（2017年版2020年修订）,标准,人民教育出版社,2020,1,62,已映射,"仅据引用方文后条目转录;被引原文未核"
[2],E002,"吕巾娇, 刘美凤, 史力范. 活动理论的发展脉络与应用探析[J]. 现代教育技术, 2007(1):8-14.","吕巾娇;刘美凤;史力范",活动理论的发展脉络与应用探析,期刊论文,现代教育技术,2007,2,"62;63",已映射,"仅据引用方文后条目转录;被引原文未核"
[3],E003,"郑太年. 从活动理论看学校学习[J]. 开放教育研究, 2005(1):64-68.",郑太年,从活动理论看学校学习,期刊论文,开放教育研究,2005,1,62,已映射,"仅据引用方文后条目转录;被引原文未核"
